moon_naif,moon_name,epoch_utc,jd_utc,ra_hms,dec_dms,range_au,deldot_km_s
699,Saturn,1900-01-01,2415020.5,"17 56 10.02","-22 26 30.0",11.0246684463527,-6.2849613
699,Saturn,2000-01-01,2451544.5,"02 35 06.40","+12 37 01.8",8.64562193601431,24.7791814
699,Saturn,2100-01-01,2488069.5,"13 33 21.66","-07 08 14.3",9.87400674812629,-27.7796071
606,Titan,1900-01-01,2415020.5,"17 56 12.79","-22 25 29.2",11.0316038982572,-7.4132231
606,Titan,2000-01-01,2451544.5,"02 35 20.04","+12 37 00.5",8.64583926604796,19.6381802
606,Titan,2100-01-01,2488069.5,"13 33 28.23","-07 08 43.3",9.86768896832121,-30.9179108
