 0.01720209895D0
 3498.790D0
 28.0512D0 169.5291D0
   0.1577287066246D+08   0.6666666666667D+07   0.9433962264151D+06   0.5094243504840D+06   0.2314814814815D+06   0.4225863977890D+04   0.3333333333333D+08   0.3225806451613D+06   0.2858130953844D-03
   0.6667061728782D+01   0.4585536751534D+01   0.3328306445055D+01   0.2295717646433D+01   0.1390853715957D+01   0.3940425676910D+00   0.2953088138695D+00   0.7920197763193D-01   0.5839811452566D-03
    1    1
    1   0.5196910356411064D-02   0.3141592653589793D+01   0.0000000000000000D+00  0  0  0  0  0  0  0  0
    2   0.2760763800054540D-04   0.6863463000141887D+00   0.8904537688864059D-01  0  0  0  0  0  0  0  0
    3   0.9347313993693880D-05   0.2209688858348459D+01   0.1019765304355295D+02  0  0  0  0  0  0  0  0
 9998  0  0  0  0  0  0  0  0  0  0  0
    4   0.1247132122206555D-03   0.3384553386830940D+01   0.2428763081719043D+04  2  0 -2  0  0  0  0  0
    5   0.5773002078925660D-04   0.9293070332553311D+00   0.2428852127095932D+04  2  0 -2  0  0  0  0  0
    6   0.5767710349652186D-04   0.2698207086816744D+01   0.2428674036342154D+04  2  0 -2  0  0  0  0  0
    7   0.1211438560239529D-04   0.2011860786802310D+01   0.2428584990965266D+04  2  0 -2  0  0  0  0  0
    8   0.1201719293977645D-04   0.4757245986859100D+01   0.2428941172472820D+04  2  0 -2  0  0  0  0  0
 9999  0  0  0  0  0  0  0  0  0  0  0
    1    2
    0   0.1822484926062486D+00      0.2435144296437475D+04
    1   0.7574073228630605D+00   0.6863463000141887D+00   0.8904537688864059D-01  0  0  0  0  0  0  0  0
    2   0.1243299165183161D-01   0.2059038900042566D+01   0.2671361306659218D+00  0  0  0  0  0  0  0  0
    3   0.2266397525680950D-02   0.2209688858348459D+01   0.1019765304355295D+02  0  0  0  0  0  0  0  0
    4   0.1059900648786554D-02   0.4664935211924063D+01   0.1010860766666431D+02  0  0  0  0  0  0  0  0
    5   0.1022783782146454D-02   0.2896035158362648D+01   0.1028669842044159D+02  0  0  0  0  0  0  0  0
    6   0.7266042399548720D-03   0.1372692600028377D+01   0.1780907537772812D+00  0  0  0  0  0  0  0  0
    7   0.5060827138159436D-03   0.4533623190990083D+01   0.5765338167707570D-01  0  0  0  0  0  0  0  0
    8   0.3590283311520520D-03   0.3431731500070944D+01   0.4452268844432029D+00  0  0  0  0  0  0  0  0
    9   0.2628008938901560D-03   0.5445714149319756D-01   0.6492496159975472D-01  0  0  0  0  0  0  0  0
   10   0.2459408712169538D-03   0.3122254716217880D+01   0.1204373721002055D+00  0  0  0  0  0  0  0  0
