kind,name,jd_utc,ra_deg,dec_deg,alt_deg,az_deg,distance_au,distance_km,angular_radius_arcmin,illuminated_fraction,phase_angle_deg,magnitude,twilight_band
solar-system,Sun,2461045.125000,285.489594,-22.672591,-76.654281,13.854688,0.983346,,16.257944,1.000000,0.000000,,Night
solar-system,Moon,2461045.125000,123.973801,22.926049,71.743989,130.233724,,360487.055673,16.568596,0.978632,16.810948,,
solar-system,Mercury,2461045.125000,274.636107,-24.319021,-73.237775,51.241625,1.401407,,0.039960,0.964640,21.677178,-0.628411,
solar-system,Venus,2461045.125000,285.027930,-23.358467,-77.224035,16.383405,1.710746,,0.081933,0.999909,1.092172,-3.923306,
solar-system,Mars,2461045.125000,286.905012,-23.445920,-77.641477,8.685132,2.407776,,0.032395,0.999919,1.032606,1.173634,
solar-system,Jupiter,2461045.125000,112.607644,22.060694,76.007231,165.743479,4.235163,,0.387392,0.999882,1.243117,-2.673887,
solar-system,Saturn,2461045.125000,357.579452,-3.497464,-19.310116,279.905217,9.772949,,0.141087,0.997577,5.643307,0.962722,
solar-system,Uranus,2461045.125000,55.632758,19.486089,40.714924,265.633239,18.798615,,0.031048,0.999666,2.094548,5.629639,
solar-system,Neptune,2461045.125000,0.121395,-1.396982,-16.018439,280.074003,30.119155,,0.018537,0.999747,1.823769,7.901454,
