kind,name,jd_utc,ra_deg,dec_deg,alt_deg,az_deg,distance_au,distance_km,angular_radius_arcmin,illuminated_fraction,phase_angle_deg,magnitude,twilight_band
solar-system,Sun,2461266.000000,143.163381,14.566036,-26.219485,314.326758,1.013179,,15.779229,1.000000,0.000000,,Night
solar-system,Moon,2461266.000000,152.371964,10.355964,-23.627622,303.757043,,372301.356854,16.042818,0.007953,169.767141,,
solar-system,Mercury,2461266.000000,129.066594,19.364787,-29.125991,330.155672,1.160784,,0.048243,0.790846,54.430403,-1.073244,
solar-system,Venus,2461266.000000,185.610771,-3.754274,-7.074936,270.452112,0.700175,,0.200188,0.496454,90.406317,-4.310788,
solar-system,Mars,2461266.000000,91.551049,23.692266,-29.866574,10.648011,1.943142,,0.040141,0.928919,30.925365,1.291666,
solar-system,Jupiter,2461266.000000,132.301987,18.290666,-28.704620,326.479635,6.281719,,0.261181,0.999662,2.105964,-1.781419,
solar-system,Saturn,2461266.000000,14.330396,3.326019,-0.251214,85.723272,8.815002,,0.156419,0.998127,4.960464,0.723146,
solar-system,Uranus,2461266.000000,63.467041,21.040405,-22.748727,38.706509,19.680543,,0.029657,0.999364,2.889558,5.724789,
solar-system,Neptune,2461266.000000,4.281184,0.326141,6.153895,94.035337,29.133788,,0.019164,0.999865,1.332677,7.828827,
