# Messier deep-sky object catalog.
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv,
# Messier subset, with M40 (Winnecke 4), M45 (Pleiades), and
# M102 (= NGC 5866) added from NGC 2000.0 / SEDS Messier database
# (https://www.messier.seds.org/) cross-reference. M73's missing size
# was filled from SEDS (2.8 arcmin).
#
# OpenNGC compiles its values from NGC 2000.0 (Sinnott & Skiff 1988),
# SIMBAD, NED, and HyperLEDA. The columns retained here are factual
# astronomical numbers (J2000 coordinates, V apparent magnitudes,
# major-axis angular sizes) that are not copyrightable as facts; the
# OpenNGC compilation itself is acknowledged in data/manifest.toml.
#
# Columns:
#   m            : Messier number (1..110)
#   ngc          : NGC or common identifier
#   name         : popular common name; may be empty
#   ra_hours     : J2000 right ascension in decimal hours (0..24)
#   dec_deg      : J2000 declination in decimal degrees (-90..+90)
#   mag          : V apparent magnitude
#   type         : OC (open cluster) | GC (globular cluster) |
#                  G (galaxy) | N (nebula) | PN (planetary nebula) |
#                  SNR (supernova remnant) | Other
#   size_arcmin  : major-axis apparent size in arcminutes
m,ngc,name,ra_hours,dec_deg,mag,type,size_arcmin
80,NGC6093,,16.284031,-22.9751,7.30,GC,5.70
81,NGC3031,Bode's Galaxy,9.925881,69.0653,6.92,G,21.63
82,NGC3034,Cigar Galaxy,9.931314,69.6794,8.30,G,10.99
83,NGC5236,Southern Pinwheel Galaxy,13.616931,-29.8654,7.21,G,13.61
84,NGC4374,,12.417706,12.8870,9.79,G,7.41
85,NGC4382,,12.423364,18.1915,9.05,G,6.95
86,NGC4406,,12.436594,12.9462,8.86,G,11.53
87,NGC4486,Virgo Galaxy,12.513728,12.3911,9.00,G,7.11
88,NGC4501,,12.533100,14.4204,10.33,G,8.65
89,NGC4552,,12.594392,12.5563,10.08,G,8.13
90,NGC4569,,12.613831,13.1629,9.54,G,9.12
91,NGC4548,,12.590681,14.4963,10.96,G,5.55
92,NGC6341,,17.285353,43.1365,6.52,GC,14.40
93,NGC2447,,7.741453,-23.8531,6.20,OC,15.00
94,NGC4736,,12.848072,41.1204,8.24,G,7.74
95,NGC3351,,10.732694,11.7038,9.77,G,7.23
96,NGC3368,,10.779372,11.8199,9.21,G,8.26
97,NGC3587,Owl Nebula,11.246586,55.0190,9.90,PN,3.58
98,NGC4192,,12.230081,14.9003,10.84,G,11.04
99,NGC4254,Coma Pinwheel,12.313778,14.4165,9.84,G,5.04
100,NGC4321,,12.381897,15.8218,9.47,G,6.10
101,NGC5457,,14.053483,54.3489,7.90,G,23.99
102,NGC5866,Spindle Galaxy,15.108194,55.7633,9.90,G,6.50
103,NGC581,,1.556058,60.6580,7.40,OC,4.50
104,NGC4594,Sombrero Galaxy,12.666508,-11.6231,8.59,G,8.45
105,NGC3379,,10.797108,12.5816,9.27,G,4.89
106,NGC4258,,12.315972,47.3040,9.29,G,16.98
107,NGC6171,,16.542200,-13.0536,8.85,GC,7.80
108,NGC3556,,11.191936,55.6741,10.05,G,3.98
109,NGC3992,,11.959994,53.3745,9.88,G,8.07
110,NGC205,,0.672800,41.6853,8.15,G,16.22
