hip,hd,vmag,bv,proper
106278,204867,2.90,0.828,Sadalsuud
107315,206778,2.38,1.520,Enif
107556,207098,2.85,0.180,Deneb Algedi
108085,207971,3.00,-0.084,Aldhanab
109074,209750,2.95,0.969,Sadalmelik
109268,209952,1.73,-0.070,Alnair
110130,211416,2.87,1.390,Lang-Exster
112122,214952,2.07,1.610,Tiaki
112158,215182,2.93,0.852,Matar
113368,216956,1.17,0.145,Fomalhaut
113881,217906,2.44,1.655,Scheat
113963,218045,2.49,-0.002,Markab
